Time Step,Time,EVAPOTRANS,sloth_ice_fraction_schaake,sloth_ice_fraction_xinan,sloth_smp
208,2022-09-02 05:00:00,0.000000,0.000000,0.000000,0.000000
209,2022-09-02 06:00:00,0.000000,0.000000,0.000000,0.000000
210,2022-09-02 07:00:00,0.000000,0.000000,0.000000,0.000000
211,2022-09-02 08:00:00,0.000000,0.000000,0.000000,0.000000
212,2022-09-02 09:00:00,0.000000,0.000000,0.000000,0.000000
213,2022-09-02 10:00:00,0.000000,0.000000,0.000000,0.000000
214,2022-09-02 11:00:00,0.000000,0.000000,0.000000,0.000000
215,2022-09-02 12:00:00,0.000000,0.000000,0.000000,0.000000
216,2022-09-02 13:00:00,0.000000,0.000000,0.000000,0.000000
217,2022-09-02 14:00:00,0.000000,0.000000,0.000000,0.000000
218,2022-09-02 15:00:00,0.000000,0.000000,0.000000,0.000000
219,2022-09-02 16:00:00,0.000000,0.000000,0.000000,0.000000
220,2022-09-02 17:00:00,0.000000,0.000000,0.000000,0.000000
221,2022-09-02 18:00:00,0.000000,0.000000,0.000000,0.000000
222,2022-09-02 19:00:00,0.000000,0.000000,0.000000,0.000000
223,2022-09-02 20:00:00,0.000000,0.000000,0.000000,0.000000
224,2022-09-02 21:00:00,0.000000,0.000000,0.000000,0.000000
225,2022-09-02 22:00:00,0.000000,0.000000,0.000000,0.000000
226,2022-09-02 23:00:00,0.000000,0.000000,0.000000,0.000000
227,2022-09-03 00:00:00,0.000000,0.000000,0.000000,0.000000
228,2022-09-03 01:00:00,0.000000,0.000000,0.000000,0.000000
229,2022-09-03 02:00:00,0.000000,0.000000,0.000000,0.000000
230,2022-09-03 03:00:00,0.000000,0.000000,0.000000,0.000000
231,2022-09-03 04:00:00,0.000000,0.000000,0.000000,0.000000
232,2022-09-03 05:00:00,0.000000,0.000000,0.000000,0.000000
233,2022-09-03 06:00:00,0.000000,0.000000,0.000000,0.000000
234,2022-09-03 07:00:00,0.000000,0.000000,0.000000,0.000000
235,2022-09-03 08:00:00,0.000000,0.000000,0.000000,0.000000
236,2022-09-03 09:00:00,0.000000,0.000000,0.000000,0.000000
237,2022-09-03 10:00:00,0.000000,0.000000,0.000000,0.000000
238,2022-09-03 11:00:00,0.000000,0.000000,0.000000,0.000000
239,2022-09-03 12:00:00,0.000000,0.000000,0.000000,0.000000
